"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","glutamatergic synapse","16.00%","8","46","869","29722","3.07e-4","2.86e-2","5.95","2.82e-2","2.86e-2","5.04e-5"
"UP_KW_MOLECULAR_FUNCTION","Developmental protein","16.00%","8","24","1081","12454","2.58e-3","2.97e-2","3.84","5.77e-2","2.97e-2","6.53e-4"
"UP_KW_MOLECULAR_FUNCTION","Developmental protein","16.00%","8","24","1081","12454","2.58e-3","2.97e-2","3.84","5.77e-2","2.97e-2","6.53e-4"
"UP_KW_BIOLOGICAL_PROCESS","Differentiation","14.00%","7","24","788","11473","3.78e-3","8.69e-2","4.25","8.34e-2","8.69e-2","8.64e-4"
"GOTERM_CC_DIRECT","cytoplasmic microtubule","6.00%","3","46","63","29722","4.13e-3","1.92e-1","30.77","3.19e-1","1.92e-1","1.29e-4"
"GOTERM_MF_DIRECT","microtubule binding","8.00%","4","46","270","28924","8.55e-3","1.00e+0","9.32","6.46e-1","1.00e+0","8.90e-4"
"GOTERM_CC_DIRECT","kainate selective glutamate receptor complex","4.00%","2","46","6","29722","9.05e-3","2.81e-1","215.38","5.71e-1","2.81e-1","3.50e-5"
"KEGG_PATHWAY","Circadian entrainment","6.00%","3","16","99","9565","1.02e-2","3.11e-1","18.12","3.70e-1","3.11e-1","5.46e-4"
"GOTERM_BP_DIRECT","circadian rhythm","6.00%","3","47","108","29712","1.22e-2","7.93e-1","17.56","9.48e-1","7.93e-1","6.74e-4"
"GOTERM_BP_DIRECT","phosphatidic acid metabolic process","4.00%","2","47","8","29712","1.23e-2","7.93e-1","158.04","9.50e-1","7.93e-1","6.82e-5"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","14.00%","7","47","1284","29712","1.38e-2","7.93e-1","3.45","9.65e-1","7.93e-1","3.83e-3"
"KEGG_PATHWAY","Glutamatergic synapse","6.00%","3","16","116","9565","1.38e-2","3.11e-1","15.46","4.65e-1","3.11e-1","8.67e-4"
"GOTERM_CC_DIRECT","postsynaptic density","8.00%","4","46","337","29722","1.44e-2","3.35e-1","7.67","7.41e-1","3.35e-1","1.82e-3"
"UP_SEQ_FEATURE","COMPBIAS:Basic residues","20.00%","10","40","2312","22253","1.65e-2","1.00e+0","2.41","9.56e-1","1.00e+0","6.58e-3"
"GOTERM_BP_DIRECT","cell differentiation","10.00%","5","47","665","29712","1.93e-2","7.93e-1","4.75","9.91e-1","7.93e-1","3.91e-3"
"UP_KW_MOLECULAR_FUNCTION","Repressor","10.00%","5","24","582","12454","2.06e-2","1.58e-1","4.46","3.80e-1","1.58e-1","4.44e-3"
"GOTERM_BP_DIRECT","positive regulation of circadian rhythm","4.00%","2","47","14","29712","2.15e-2","7.93e-1","90.31","9.95e-1","7.93e-1","2.20e-4"
"GOTERM_MF_DIRECT","glutamate-gated receptor activity","4.00%","2","46","14","28924","2.16e-2","1.00e+0","89.83","9.29e-1","1.00e+0","2.22e-4"
"GOTERM_BP_DIRECT","modulation of chemical synaptic transmission","6.00%","3","47","148","29712","2.21e-2","7.93e-1","12.81","9.95e-1","7.93e-1","1.67e-3"
"GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription","10.00%","5","47","702","29712","2.30e-2","7.93e-1","4.50","9.96e-1","7.93e-1","4.91e-3"
"UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues","36.00%","18","40","6189","22253","2.49e-2","1.00e+0","1.62","9.91e-1","1.00e+0","1.48e-2"
"GOTERM_BP_DIRECT","intracellular signal transduction","8.00%","4","47","432","29712","2.92e-2","8.44e-1","5.85","9.99e-1","8.44e-1","4.80e-3"
"INTERPRO","Ionotropic_Glu_rcpt","4.00%","2","40","18","22271","3.11e-2","1.00e+0","61.86","9.97e-1","1.00e+0","4.73e-4"
"INTERPRO","Glu/Gly-bd","4.00%","2","40","18","22271","3.11e-2","1.00e+0","61.86","9.97e-1","1.00e+0","4.73e-4"
"INTERPRO","Iono_Glu_rcpt_met","4.00%","2","40","18","22271","3.11e-2","1.00e+0","61.86","9.97e-1","1.00e+0","4.73e-4"
"INTERPRO","Iontro_rcpt_C","4.00%","2","40","18","22271","3.11e-2","1.00e+0","61.86","9.97e-1","1.00e+0","4.73e-4"
"UP_KW_CELLULAR_COMPONENT","Postsynaptic cell membrane","6.00%","3","34","159","18649","3.21e-2","7.06e-1","10.35","5.12e-1","7.06e-1","3.00e-3"
"UP_SEQ_FEATURE","REGION:Disordered","60.00%","30","40","13109","22253","3.34e-2","1.00e+0","1.27","9.98e-1","1.00e+0","2.57e-2"
"GOTERM_BP_DIRECT","ionotropic glutamate receptor signaling pathway","4.00%","2","47","22","29712","3.35e-2","8.44e-1","57.47","1.00e+0","8.44e-1","5.54e-4"
"GOTERM_BP_DIRECT","phosphatidic acid biosynthetic process","4.00%","2","47","23","29712","3.50e-2","8.44e-1","54.97","1.00e+0","8.44e-1","6.07e-4"
"GOTERM_MF_DIRECT","ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","4.00%","2","46","24","28924","3.67e-2","1.00e+0","52.40","9.89e-1","1.00e+0","6.68e-4"
"INTERPRO","PH-like_dom_sf","8.00%","4","40","424","22271","3.78e-2","1.00e+0","5.25","9.99e-1","1.00e+0","6.89e-3"
"SMART","PBPe","4.00%","2","25","18","10943","3.88e-2","8.53e-1","48.64","8.25e-1","8.53e-1","7.50e-4"
"SMART","Lig_chan-Glu_bd","4.00%","2","25","18","10943","3.88e-2","8.53e-1","48.64","8.25e-1","8.53e-1","7.50e-4"
"GOTERM_CC_DIRECT","axon","8.00%","4","46","516","29722","4.31e-2","8.02e-1","5.01","9.83e-1","8.02e-1","8.24e-3"
