"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database"
"Genes Up-Regulated In OPCs Of HD Patients Vs Control PMID32681824","11/414",3.00297524940652e-08,4.25821890365844e-05,0,0,11.1103184449959,192.442683468371,"KLF12;ZEB2;FRMD5;DGKB;WIPF1;PCDH7;RFX3;CTNNA2;SOX5;GRIA4;KCNJ3","HDSigDB_Mouse_2021"
"Genes Changed In OPCs Of HD Patients Vs Control PMID32681824","13/797",4.29696237289227e-07,0.000304654632238062,0,0,6.90552905944987,101.236349436486,"KLF12;DGKB;WIPF1;PCDH7;RFX3;TMEM241;ZEB2;FRMD5;SCG5;CTNNA2;SOX5;GRIA4;KCNJ3","HDSigDB_Mouse_2021"
"Genes Up-Regulated In Sst/Npy-expressing Interneurons Of R6/2 Vs WT PMID32681824","8/323",4.59799944638047e-06,0.00217332107165584,0,0,9.77329598506069,120.112725283683,"KLF12;CNTNAP5B;PCDH7;SCG5;RFX3;JAKMIP2;GRIA4;GULP1","HDSigDB_Mouse_2021"
"Genes Up-Regulated In Ciliated Ependymal Cells Of zQ175DN Vs WT PMID32681824","7/245",7.53490774919545e-06,0.00267112479708979,0,0,11.1442307692308,131.456944615334,"FRMD5;DGKB;CALD1;CTNNA2;SOX5;JAKMIP2;GULP1","HDSigDB_Mouse_2021"
"Genes Up-Regulated In Foxp2/Olfm3-expressing Neurons Of HD Patients Vs Control PMID32681824","16/1746",3.10855345010386e-05,0.00760722573980538,0,0,3.91687054711655,40.6522905988623,"KLF12;ZFP521;GRIK3;JAKMIP2;GULP1;ZEB2;FRMD5;CNTNAP5B;CALD1;MCF2L;SMOC1;GSE1;CTNNA2;SOX5;GRIA4;KCNJ3","HDSigDB_Mouse_2021"
"Genes Changed In Sst/Npy-expressing Interneurons Of R6/2 Vs WT PMID32681824","9/556",3.38598330963649e-05,0.00760722573980538,0,0,6.38193784277879,65.6910802454517,"KLF12;CNTNAP5B;DGKB;PCDH7;SCG5;RFX3;JAKMIP2;GRIA4;GULP1","HDSigDB_Mouse_2021"
"Genes Changed In Ciliated Ependymal Cells Of R6/2 Vs WT PMID32681824","8/436",4.00643522860158e-05,0.00760722573980538,0,0,7.15154846985523,72.4095969583352,"FRMD5;CALD1;PCDH7;SCG5;CTNNA2;SOX5;GRIA4;GULP1","HDSigDB_Mouse_2021"
"Top OPC-enriched Genes In Humans And Mice PMID29892006","12/1041",4.29180577704112e-05,0.00760722573980538,0,0,4.69251287140996,47.1889319031679,"PRTG;FRMD5;CNTNAP5B;WIPF1;PCDH7;SMOC1;GRIK3;SCG5;KIF2C;CTNNA2;SOX5;GRIA4","HDSigDB_Mouse_2021"
"Genes Up-Regulated In Ciliated Ependymal Cells Of R6/2 Vs WT PMID32681824","5/147",7.2877011242433e-05,0.0103707539135755,0,0,12.9101460615545,122.991570228655,"PCDH7;SCG5;CTNNA2;GRIA4;GULP1","HDSigDB_Mouse_2021"
"Genes Changed In Pvalb/Th-expressing Interneurons Of HD Patients Vs Control PMID32681824","18/2304",7.31364874018022e-05,0.0103707539135755,0,0,3.3906280007682,32.2895715196847,"KLF12;CPNE4;DGKB;PCDH7;GRIK3;RFX3;TMEM241;JAKMIP2;GULP1;ZEB2;FRMD5;CNTNAP5B;SCG5;CTNNA2;LPIN1;SOX5;GRIA4;KCNJ3","HDSigDB_Mouse_2021"
